ufficio,tipo,grado,articolo,esito,numero,affidabilita,fonte
Tribunale di Sassari,Tribunale,I,423,assoluzione,2,media,prospetto Sassari
Tribunale di Sassari,Tribunale,I,423,prescrizione,1,media,prospetto Sassari
Tribunale di Sassari,Tribunale,I,423bis_c2,prescrizione,1,media,prospetto Sassari
Tribunale di Sassari,Tribunale,I,423bis_c2,patteggiamento,1,media,prospetto Sassari
Tribunale di Sassari,Tribunale,I,449,condanna,2,media,prospetto Sassari
Tribunale di Sassari,Tribunale,I,449,assoluzione,25,media,prospetto Sassari
Tribunale di Sassari,Tribunale,I,449,prescrizione,1,media,prospetto Sassari
Tribunale di Siracusa,Tribunale,I,423,condanna,3,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423,assoluzione,4,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423,prescrizione,1,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423,archiviazione_ignoti,353,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423,archiviazione_noti,30,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423bis_c1,condanna,2,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423bis_c1,assoluzione,1,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423bis_c1,patteggiamento,2,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423bis_c1,archiviazione_ignoti,37,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423bis_c1,archiviazione_noti,1,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,423bis_c2,patteggiamento,1,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,449,condanna,2,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,449,assoluzione,8,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,449,prescrizione,2,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,449,patteggiamento,4,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,449,archiviazione_ignoti,27,media,prospetto Siracusa
Tribunale di Siracusa,Tribunale,I,449,archiviazione_noti,29,media,prospetto Siracusa
Tribunale di Genova,Tribunale,I,423,condanna,5,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,423,assoluzione,7,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,423,patteggiamento,3,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,423bis_c1,condanna,1,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,423bis_c1,assoluzione,1,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,423bis_c1,patteggiamento,1,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,423bis_c2,condanna,4,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,423bis_c2,assoluzione,5,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,423bis_c2,patteggiamento,14,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,449,condanna,5,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,449,assoluzione,6,alta,Statistica Incendi
Tribunale di Genova,Tribunale,I,449,patteggiamento,7,alta,Statistica Incendi
Tribunale di Milano,Tribunale,I,423,condanna,29,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423,assoluzione,18,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423,promiscua,8,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423,patteggiamento,11,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423,prescrizione,1,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423,archiviazione_ignoti,695,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423,archiviazione_noti,65,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423bis_c2,condanna,1,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423bis_c2,assoluzione,1,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,423bis_c2,archiviazione_ignoti,9,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,449,condanna,3,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,449,assoluzione,7,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,449,promiscua,4,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,449,patteggiamento,8,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,449,prescrizione,1,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,449,archiviazione_ignoti,53,alta,tabella dati Ufficio Innovazione
Tribunale di Milano,Tribunale,I,449,archiviazione_noti,34,alta,tabella dati Ufficio Innovazione
Tribunale di Salerno,Tribunale,I,423,condanna,5,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423,assoluzione,7,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423,prescrizione,7,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423,archiviazione,312,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423bis_c1,condanna,1,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423bis_c1,prescrizione,1,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423bis_c1,archiviazione,22,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423bis_c2,condanna,1,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423bis_c2,assoluzione,4,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,423bis_c2,prescrizione,3,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,449,condanna,1,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,449,assoluzione,2,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,449,prescrizione,10,alta,Dati incendio
Tribunale di Salerno,Tribunale,I,449,archiviazione,53,alta,Dati incendio
Tribunale di Trento,Tribunale,I,423,condanna,5,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,423,assoluzione,2,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,423,ndp_altro,5,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,423,patteggiamento,11,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,423,archiviazione,11,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,423bis,assoluzione,2,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,423bis,patteggiamento,3,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,423bis,archiviazione,2,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,449,assoluzione,3,alta,Tabella dati Trento
Tribunale di Trento,Tribunale,I,449,archiviazione,5,alta,Tabella dati Trento
Tribunale di Trieste,Tribunale,I,423,condanna,9,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,423,assoluzione,2,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,423,archiviazione_ignoti,73,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,423,archiviazione_noti,6,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,423bis_c1,archiviazione_ignoti,29,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,423bis_c1,archiviazione_noti,1,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,423bis_c2,archiviazione_ignoti,2,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,449,condanna,4,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,449,assoluzione,2,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,449,prescrizione,1,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,449,archiviazione_ignoti,40,media,z_dati_incendio
Tribunale di Trieste,Tribunale,I,449,archiviazione_noti,7,media,z_dati_incendio
Corte appello Roma,CA,II,423,condanna,54,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,423,assoluzione,13,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,423,prescrizione,24,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,423,ndp_altro,8,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,423bis,condanna,15,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,423bis,assoluzione,4,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,423bis,prescrizione,4,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,423bis,ndp_altro,2,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,449,condanna,9,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,449,assoluzione,3,alta,dato.md (tabella verificata a mano)
Corte appello Roma,CA,II,449,prescrizione,4,alta,dato.md (tabella verificata a mano)
Corte appello Sassari,CA,II,nd,condanna,3,media,dato.md (annotazione)
Corte appello Trento,CA,II,nd,promiscua,1,media,dato.md
Corte appello Trento,CA,II,nd,assoluzione,1,media,dato.md
Tribunale di Caltanissetta,Tribunale,I,423,condanna,9,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,423,assoluzione,2,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,423,ndp_altro,3,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,423,patteggiamento,3,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,423,archiviazione,23,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,423bis_c1,assoluzione,1,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,423bis_c2,archiviazione,7,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,449,condanna,2,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,449,assoluzione,3,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,449,prescrizione,1,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,449,patteggiamento,1,alta,dato.md
Tribunale di Caltanissetta,Tribunale,I,449,archiviazione,13,alta,dato.md
Tribunale di Campobasso,Tribunale,I,423,assoluzione,2,alta,dato.md
Tribunale di Campobasso,Tribunale,I,423,condanna,3,alta,dato.md
Tribunale di Campobasso,Tribunale,I,423,archiviazione,17,alta,dato.md
Tribunale di Campobasso,Tribunale,I,423bis_c1,archiviazione,4,alta,dato.md
Tribunale di Campobasso,Tribunale,I,423bis_c2,condanna,1,alta,dato.md
Tribunale di Campobasso,Tribunale,I,423bis_c2,assoluzione,1,alta,dato.md
Tribunale di Campobasso,Tribunale,I,423bis_c2,archiviazione,3,alta,dato.md
Tribunale di Campobasso,Tribunale,I,449,assoluzione,1,alta,dato.md
Tribunale di Campobasso,Tribunale,I,449,archiviazione,1,alta,dato.md
Tribunale di Catania,Tribunale,I,423,condanna,6,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,423,assoluzione,8,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,423,prescrizione,8,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,423,archiviazione_noti,78,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,423,archiviazione_ignoti,768,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,423bis_c1,condanna,1,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,423bis_c2,condanna,1,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,423bis,archiviazione_noti,7,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,423bis,archiviazione_ignoti,274,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,449,condanna,7,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,449,assoluzione,9,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,449,prescrizione,16,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,449,patteggiamento,1,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,449,archiviazione_noti,98,alta,dato.md (verificato a vista)
Tribunale di Catania,Tribunale,I,449,archiviazione_ignoti,33,alta,dato.md (verificato a vista)
Tribunale di Enna,Tribunale,I,423,condanna,1,media,dato.md (OCR, discrepanza totale)
Tribunale di Enna,Tribunale,I,423,assoluzione,4,media,dato.md (OCR, discrepanza totale)
Tribunale di Enna,Tribunale,I,423,ndp_altro,2,media,dato.md (OCR, discrepanza totale)
Tribunale di Enna,Tribunale,I,423bis_c1,assoluzione,2,media,dato.md (OCR, discrepanza totale)
Tribunale di Enna,Tribunale,I,423bis_c1,patteggiamento,1,media,dato.md (OCR, discrepanza totale)
Tribunale di Enna,Tribunale,I,449,condanna,2,media,dato.md (OCR, discrepanza totale)
Tribunale di Enna,Tribunale,I,449,assoluzione,5,media,dato.md (OCR, discrepanza totale)
Tribunale di Enna,Tribunale,I,449,prescrizione,6,media,dato.md (OCR, discrepanza totale)
Tribunale di Frosinone,Tribunale,I,423,condanna,2,media,dato.md (solo monocratico, GIP negato)
Tribunale di Frosinone,Tribunale,I,423,prescrizione,1,media,dato.md (solo monocratico, GIP negato)
Tribunale di Frosinone,Tribunale,I,423,archiviazione,10,media,dato.md (solo monocratico, GIP negato)
Tribunale di Frosinone,Tribunale,I,423bis_c1,patteggiamento,1,media,dato.md (solo monocratico, GIP negato)
Tribunale di Frosinone,Tribunale,I,423bis_c1,archiviazione,1,media,dato.md (solo monocratico, GIP negato)
Tribunale di Frosinone,Tribunale,I,449,assoluzione,11,media,dato.md (solo monocratico, GIP negato)
Tribunale di Frosinone,Tribunale,I,449,condanna,1,media,dato.md (solo monocratico, GIP negato)
Tribunale di Frosinone,Tribunale,I,449,patteggiamento,1,media,dato.md (solo monocratico, GIP negato)
Tribunale di Frosinone,Tribunale,I,449,archiviazione,2,media,dato.md (solo monocratico, GIP negato)
Tribunale di Ivrea,Tribunale,I,nd,condanna,2,bassa,dato.md (dibattimento; GIP non consolidato)
Tribunale di Ivrea,Tribunale,I,nd,patteggiamento,1,bassa,dato.md (dibattimento; GIP non consolidato)
Tribunale di Latina,Tribunale,I,nd,nessuna_sentenza,0,alta,dato.md (zero)
Tribunale di Potenza,Tribunale,I,423,assoluzione,2,alta,dato.md
Tribunale di Potenza,Tribunale,I,423bis,assoluzione,1,alta,dato.md
Tribunale di Potenza,Tribunale,I,423bis,condanna,1,alta,dato.md
Tribunale di Potenza,Tribunale,I,423bis_c2,assoluzione,1,alta,dato.md
Tribunale di Potenza,Tribunale,I,423bis_c2,condanna,1,alta,dato.md
Tribunale di Potenza,Tribunale,I,449,assoluzione,3,alta,dato.md
Tribunale di Spoleto,Tribunale,I,nd,prescrizione,1,media,dato.md (esiti non incrociati per articolo)
Tribunale di Spoleto,Tribunale,I,nd,assoluzione,1,media,dato.md (esiti non incrociati per articolo)
Tribunale di Spoleto,Tribunale,I,nd,condanna,2,media,dato.md (esiti non incrociati per articolo)
Tribunale di Spoleto,Tribunale,I,nd,ndp_altro,3,media,dato.md (esiti non incrociati per articolo)
Tribunale di Teramo,Tribunale,I,423,assoluzione,2,alta,dato.md (elenco sentenze)
Tribunale di Teramo,Tribunale,I,423bis_c2,condanna,1,alta,dato.md (elenco sentenze)
Tribunale di Teramo,Tribunale,I,449,condanna,3,alta,dato.md (elenco sentenze)
Tribunale di Teramo,Tribunale,I,449,assoluzione,2,alta,dato.md (elenco sentenze)
Tribunale di Termini Imerese,Tribunale,I,423,condanna,2,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423,assoluzione,1,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423,patteggiamento,1,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423,archiviazione_noti,18,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423,archiviazione_ignoti,531,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423bis_c1,condanna,2,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423bis_c1,patteggiamento,1,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423bis_c1,archiviazione_noti,15,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423bis_c1,archiviazione_ignoti,182,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423bis_c2,condanna,2,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423bis_c2,patteggiamento,1,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,423bis_c2,archiviazione_noti,3,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,449,condanna,1,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,449,assoluzione,1,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,449,prescrizione,2,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,449,archiviazione_noti,10,media,dato.md (GIP da OCR)
Tribunale di Termini Imerese,Tribunale,I,449,archiviazione_ignoti,6,media,dato.md (GIP da OCR)
Tribunale di Verbania,Tribunale,I,423,condanna,9,media,dato.md (GIP-GUP xlsx 24/08)
Tribunale di Verbania,Tribunale,I,423,assoluzione,1,media,dato.md (dibattimento)
Tribunale di Verbania,Tribunale,I,423,patteggiamento,5,media,dato.md (col. duplicata? da verificare)
Tribunale di Verbania,Tribunale,I,423,archiviazione,5,media,dato.md (GIP-GUP xlsx 24/08)
Tribunale di Verbania,Tribunale,I,423bis_c1,condanna,2,media,dato.md (GIP-GUP xlsx 24/08)
Tribunale di Verbania,Tribunale,I,423bis_c1,patteggiamento,1,media,dato.md (col. duplicata? da verificare)
Tribunale di Verbania,Tribunale,I,423bis_c1,archiviazione,1,media,dato.md (GIP-GUP xlsx 24/08)
Tribunale di Verbania,Tribunale,I,423bis_c2,condanna,6,media,dato.md (GIP-GUP xlsx 24/08)
Tribunale di Verbania,Tribunale,I,423bis_c2,assoluzione,2,media,dato.md (GIP-GUP xlsx 24/08)
Tribunale di Verbania,Tribunale,I,423bis_c2,patteggiamento,5,media,dato.md (col. duplicata? da verificare)
Tribunale di Verbania,Tribunale,I,423bis_c2,archiviazione,5,media,dato.md (GIP-GUP xlsx 24/08)
Tribunale di Verbania,Tribunale,I,449,condanna,4,media,dato.md (GIP-GUP xlsx 24/08)
Tribunale di Verbania,Tribunale,I,449,assoluzione,1,media,dato.md (dibattimento)
Tribunale di Verbania,Tribunale,I,449,patteggiamento,2,media,dato.md (col. duplicata? da verificare)
Tribunale di Verbania,Tribunale,I,449,archiviazione,2,media,dato.md (GIP-GUP xlsx 24/08)
