ufficio,tipo,grado,articolo,esito,numero,affidabilita,fonte
Tribunale di Locri,Tribunale,I,449,condanna,1,media,TRIBUNALE_LOCRI.xlsx
Tribunale di Locri,Tribunale,I,449,assoluzione,2,media,TRIBUNALE_LOCRI.xlsx
Tribunale di Lodi,Tribunale,I,423,condanna,6,alta,Sentenze_Reati_Incendio.xlsx
Tribunale di Lodi,Tribunale,I,423,assoluzione,7,alta,Sentenze_Reati_Incendio.xlsx
Tribunale di Lodi,Tribunale,I,423,archiviazione,26,alta,Sentenze_Reati_Incendio.xlsx
Tribunale di Lodi,Tribunale,I,449,condanna,8,alta,Sentenze_Reati_Incendio.xlsx
Tribunale di Lodi,Tribunale,I,449,assoluzione,5,alta,Sentenze_Reati_Incendio.xlsx
Tribunale di Lodi,Tribunale,I,449,archiviazione,8,alta,Sentenze_Reati_Incendio.xlsx
Tribunale di Monza,Tribunale,I,423,condanna,4,media,Prospetto GIP (xlsx)
Tribunale di Monza,Tribunale,I,423,assoluzione,2,media,Prospetto GIP (xlsx)
Tribunale di Monza,Tribunale,I,423,patteggiamento,7,media,Prospetto GIP (xlsx)
Tribunale di Monza,Tribunale,I,449,condanna,2,media,Prospetto GIP (xlsx)
Tribunale di Monza,Tribunale,I,449,assoluzione,1,media,Prospetto GIP (xlsx)
Tribunale di Monza,Tribunale,I,449,patteggiamento,5,media,Prospetto GIP (xlsx)
Tribunale di Napoli Nord (Aversa),Tribunale,I,423,prescrizione,4,media,PROSPETTO 423 e 449.xlsx
Tribunale di Napoli Nord (Aversa),Tribunale,I,423,archiviazione,36,media,PROSPETTO 423 e 449.xlsx
Tribunale di Napoli Nord (Aversa),Tribunale,I,423bis,archiviazione,1,media,PROSPETTO 423 e 449.xlsx
Tribunale di Napoli Nord (Aversa),Tribunale,I,449,condanna,2,media,PROSPETTO 423 e 449.xlsx
Tribunale di Napoli Nord (Aversa),Tribunale,I,449,prescrizione,1,media,PROSPETTO 423 e 449.xlsx
Tribunale di Napoli Nord (Aversa),Tribunale,I,449,patteggiamento,2,media,PROSPETTO 423 e 449.xlsx
Tribunale di Napoli Nord (Aversa),Tribunale,I,449,archiviazione,16,media,PROSPETTO 423 e 449.xlsx
Tribunale di Oristano,Tribunale,I,423,condanna,2,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423,assoluzione,10,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423,prescrizione,5,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423,patteggiamento,6,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423,archiviazione_noti,16,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423,archiviazione_ignoti,156,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423bis_c1,patteggiamento,1,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423bis_c1,archiviazione_noti,1,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423bis_c1,archiviazione_ignoti,7,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,423bis_c2,assoluzione,1,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,449,condanna,3,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,449,assoluzione,5,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,449,patteggiamento,1,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,449,archiviazione_noti,21,alta,Statistica_incendi.xlsx
Tribunale di Oristano,Tribunale,I,449,archiviazione_ignoti,15,alta,Statistica_incendi.xlsx
Tribunale di Torino,Tribunale,I,423,condanna,18,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,423,assoluzione,5,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,423,patteggiamento,5,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,423,archiviazione,39,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,423bis_c1,archiviazione,1,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,423bis_c2,archiviazione,4,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,449,condanna,7,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,449,assoluzione,6,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,449,patteggiamento,9,alta,sintesi_dati.xlsx
Tribunale di Torino,Tribunale,I,449,archiviazione,45,alta,sintesi_dati.xlsx
Tribunale di Fermo,Tribunale,I,423,condanna,4,alta,Accesso_civico (md)
Tribunale di Fermo,Tribunale,I,423,assoluzione,1,alta,Accesso_civico (md)
Tribunale di Fermo,Tribunale,I,423bis_c1,condanna,1,alta,Accesso_civico (md)
Tribunale di Fermo,Tribunale,I,423bis_c1,assoluzione,1,alta,Accesso_civico (md)
Tribunale di Fermo,Tribunale,I,449,condanna,4,alta,Accesso_civico (md)
Tribunale di Fermo,Tribunale,I,449,assoluzione,1,alta,Accesso_civico (md)
Tribunale di Fermo,Tribunale,I,449,prescrizione,2,alta,Accesso_civico (md)
Tribunale di Fermo,Tribunale,I,nd,patteggiamento,1,alta,Accesso_civico (md)
Tribunale di Fermo,Tribunale,I,nd,archiviazione,3,alta,Accesso_civico (md)
Tribunale di L'Aquila,Tribunale,I,nd,condanna,6,media,Dati_sentenze (md)
Tribunale di L'Aquila,Tribunale,I,nd,patteggiamento,1,media,Dati_sentenze (md)
Tribunale di L'Aquila,Tribunale,I,nd,assoluzione,1,media,Dati_sentenze (md)
Tribunale di L'Aquila,Tribunale,I,nd,ndp_altro,4,media,Dati_sentenze (md)
Tribunale di L'Aquila,Tribunale,I,nd,archiviazione,19,media,Dati_sentenze (md)
Tribunale di Biella,Tribunale,I,nd,nessuna_sentenza,0,alta,scans (md)
# UFFICI CHE HANNO FORNITO DATI MA DA CONSOLIDARE A MANO (elenchi di dettaglio, moduli ministeriali, scansioni)
Corte appello Reggio Calabria,CA,II,nd,da_consolidare,,,scansioni
Corte appello Trieste,CA,II,nd,da_consolidare,,,scansione illeggibile (OCR)
Corte appello Potenza,CA,II,nd,da_consolidare,,,CCF_002811 (scansione)
Tribunale di Ancona,Tribunale,I,nd,da_consolidare,,,moduli ministeriali M317 (GIP+MON)
Tribunale di Ascoli Piceno,Tribunale,I,nd,da_consolidare,,,provv Presidente (md)
Tribunale di Lecco,Tribunale,I,nd,da_consolidare,,,provv accoglimento (md)
Tribunale di Lucca,Tribunale,I,nd,da_consolidare,,,Statistica dibattimento + GIP (scansioni)
Tribunale di Messina,Tribunale,I,nd,da_consolidare,,,Reati incendio (scansioni)
Tribunale di Novara,Tribunale,I,nd,da_consolidare,,,Elenco dettaglio (16030 righe) + definiti
Tribunale di Reggio Emilia,Tribunale,I,nd,da_consolidare,,,risposta Presidente (solo PDF)
Tribunale di Rovereto,Tribunale,I,nd,da_consolidare,,,FOIA 936-2026 (md)
Tribunale di Urbino,Tribunale,I,nd,da_consolidare,,,RISPOSTA_ACCESSO_ATTI (md)
Tribunale di Vercelli,Tribunale,I,nd,da_consolidare,,,esito finale (scansione)
Tribunale di Viterbo,Tribunale,I,nd,da_consolidare,,,prot_1085 (md)
# --- BATCH 2 estrazione automatica (elenchi con colonna Esito) + prospetti ---
Corte appello Bologna,CA,II,423,condanna,31,alta,estrazione-auto
Corte appello Bologna,CA,II,423,assoluzione,8,alta,estrazione-auto
Corte appello Bologna,CA,II,423,prescrizione,11,alta,estrazione-auto
Corte appello Bologna,CA,II,423,ndp_altro,1,alta,estrazione-auto
Corte appello Bologna,CA,II,449,condanna,6,alta,estrazione-auto
Corte appello Bologna,CA,II,449,assoluzione,2,alta,estrazione-auto
Corte appello Bologna,CA,II,449,prescrizione,5,alta,estrazione-auto
Corte appello Bologna,CA,II,423bis,prescrizione,1,alta,estrazione-auto
Corte appello Bologna,CA,II,423bis_c2,condanna,2,alta,estrazione-auto
Corte appello Bologna,CA,II,423bis_c2,assoluzione,1,alta,estrazione-auto
Corte appello Bologna,CA,II,423bis_c2,prescrizione,2,alta,estrazione-auto
Corte appello Bologna,CA,II,nd,condanna,9,alta,estrazione-auto
Corte appello Bologna,CA,II,nd,assoluzione,1,alta,estrazione-auto
Corte appello Bologna,CA,II,nd,prescrizione,4,alta,estrazione-auto
Corte appello Bologna,CA,II,423bis_c1,condanna,2,alta,estrazione-auto
Corte appello Cagliari,CA,II,423,condanna,11,media,estrazione-auto
Corte appello Cagliari,CA,II,423,assoluzione,3,media,estrazione-auto
Corte appello Cagliari,CA,II,423,prescrizione,1,media,estrazione-auto
Corte appello Cagliari,CA,II,423,ndp_altro,3,media,estrazione-auto
Corte appello Cagliari,CA,II,449,condanna,1,media,estrazione-auto
Corte appello Cagliari,CA,II,449,assoluzione,2,media,estrazione-auto
Corte appello Cagliari,CA,II,449,prescrizione,1,media,estrazione-auto
Corte appello Cagliari,CA,II,423bis,condanna,3,media,estrazione-auto
Corte appello Cagliari,CA,II,423bis,assoluzione,2,media,estrazione-auto
Corte appello Cagliari,CA,II,nd,condanna,2,media,estrazione-auto
Corte appello Cagliari,CA,II,nd,assoluzione,2,media,estrazione-auto
Corte appello Cagliari,CA,II,423bis_c2,condanna,1,media,estrazione-auto
Corte appello Cagliari,CA,II,423bis_c2,assoluzione,1,media,estrazione-auto
Corte appello Cagliari,CA,II,423bis_c2,prescrizione,1,media,estrazione-auto
Corte appello Cagliari,CA,II,423bis_c1,condanna,2,media,estrazione-auto
Corte appello Milano,CA,II,423,condanna,62,media,estrazione-auto
Corte appello Milano,CA,II,423,assoluzione,1,media,estrazione-auto
Corte appello Milano,CA,II,449,condanna,11,media,estrazione-auto
Corte appello Milano,CA,II,449,prescrizione,1,media,estrazione-auto
Corte appello Milano,CA,II,nd,condanna,4,media,estrazione-auto
Corte appello Milano,CA,II,423bis_c2,condanna,3,media,estrazione-auto
Corte appello Milano,CA,II,423bis,condanna,2,media,estrazione-auto
Corte appello Milano,CA,II,423bis,assoluzione,1,media,estrazione-auto
Tribunale di Bergamo,Tribunale,I,nd,condanna,23,bassa,estrazione-auto
Tribunale di Bergamo,Tribunale,I,nd,assoluzione,19,bassa,estrazione-auto
Tribunale di Bergamo,Tribunale,I,nd,prescrizione,5,bassa,estrazione-auto
Tribunale di Bergamo,Tribunale,I,nd,patteggiamento,12,bassa,estrazione-auto
Tribunale di Bergamo,Tribunale,I,nd,ndp_altro,9,bassa,estrazione-auto
Tribunale di Bergamo,Tribunale,I,nd,archiviazione,496,bassa,estrazione-auto
Tribunale di Bologna,Tribunale,I,nd,condanna,44,media,estrazione-auto
Tribunale di Bologna,Tribunale,I,nd,assoluzione,24,media,estrazione-auto
Tribunale di Bologna,Tribunale,I,nd,prescrizione,8,media,estrazione-auto
Tribunale di Bologna,Tribunale,I,nd,patteggiamento,10,media,estrazione-auto
Tribunale di Bologna,Tribunale,I,nd,ndp_altro,19,media,estrazione-auto
Tribunale di Bologna,Tribunale,I,nd,archiviazione,113,media,estrazione-auto
Tribunale di Cremona,Tribunale,I,423,ndp_altro,1,bassa,estrazione-auto
Tribunale di Cremona,Tribunale,I,nd,archiviazione,3,bassa,estrazione-auto
Tribunale di Ferrara,Tribunale,I,nd,assoluzione,7,bassa,estrazione-auto
Tribunale di Ferrara,Tribunale,I,nd,patteggiamento,1,bassa,estrazione-auto
Tribunale di Ferrara,Tribunale,I,nd,ndp_altro,19,bassa,estrazione-auto
Tribunale di Ferrara,Tribunale,I,nd,archiviazione,162,bassa,estrazione-auto
Tribunale di Massa,Tribunale,I,nd,condanna,4,bassa,estrazione-auto
Tribunale di Massa,Tribunale,I,nd,assoluzione,3,bassa,estrazione-auto
Tribunale di Massa,Tribunale,I,nd,patteggiamento,2,bassa,estrazione-auto
Tribunale di Massa,Tribunale,I,nd,ndp_altro,2,bassa,estrazione-auto
